"cod_proposta","cod_cliente","data_nascimento","endereco","cod_colaborador","valor_financiamento","status_proposta"
116,338,"1967-01-03","Viela de da Rosa, 86 Santa Amelia 78590-222 Vieira / RR",1,50032.03,Enviada
116,338,"1967-01-03","Viela de da Rosa, 86 Santa Amelia 78590-222 Vieira / RR",1,50032.03,Enviada
116,338,"1967-01-03","Viela de da Rosa, 86 Santa Amelia 78590-222 Vieira / RR",1,50032.03,Enviada
715,45,"1948-04-07","Pátio de Viana, 30 São Gonçalo 46881-197 da Rocha / PA",1,19848.55,Enviada
715,45,"1948-04-07","Pátio de Viana, 30 São Gonçalo 46881-197 da Rocha / PA",1,19848.55,Enviada
715,45,"1948-04-07","Pátio de Viana, 30 São Gonçalo 46881-197 da Rocha / PA",1,19848.55,Enviada
755,494,"1949-01-23","Via Lima, 4 Nova Pampulha 87659083 da Mata dos Dourados / PR",1,187154.36,Enviada
755,494,"1949-01-23","Via Lima, 4 Nova Pampulha 87659083 da Mata dos Dourados / PR",1,187154.36,Enviada
755,494,"1949-01-23","Via Lima, 4 Nova Pampulha 87659083 da Mata dos Dourados / PR",1,187154.36,Enviada
953,381,"1972-11-01","Parque Lucca Farias, 16 Vila Madre Gertrudes 3ª Seção 09192-662 da Rosa de da Cruz / RO",1,59530.61,Enviada
953,381,"1972-11-01","Parque Lucca Farias, 16 Vila Madre Gertrudes 3ª Seção 09192-662 da Rosa de da Cruz / RO",1,59530.61,Enviada
953,381,"1972-11-01","Parque Lucca Farias, 16 Vila Madre Gertrudes 3ª Seção 09192-662 da Rosa de da Cruz / RO",1,59530.61,Enviada
1046,176,"1968-07-31",Residencial Rocha Paquetá 32152982 das Neves de das Neves / PI,1,214294.19,Enviada
1046,176,"1968-07-31",Residencial Rocha Paquetá 32152982 das Neves de das Neves / PI,1,214294.19,Enviada
1046,176,"1968-07-31",Residencial Rocha Paquetá 32152982 das Neves de das Neves / PI,1,214294.19,Enviada
1171,732,"1980-05-29","Favela de da Paz, 52 Vila Aeroporto Jaraguá 40100034 Vieira / MA",1,56464.88,Enviada
1171,732,"1980-05-29","Favela de da Paz, 52 Vila Aeroporto Jaraguá 40100034 Vieira / MA",1,56464.88,Enviada
1171,732,"1980-05-29","Favela de da Paz, 52 Vila Aeroporto Jaraguá 40100034 Vieira / MA",1,56464.88,Enviada
1434,560,"1967-12-21","Loteamento Matheus da Rocha, 3 Leticia 62507206 Monteiro / RS",1,192947.94,Enviada
1434,560,"1967-12-21","Loteamento Matheus da Rocha, 3 Leticia 62507206 Monteiro / RS",1,192947.94,Enviada
1434,560,"1967-12-21","Loteamento Matheus da Rocha, 3 Leticia 62507206 Monteiro / RS",1,192947.94,Enviada
1744,159,"1973-12-11","Sítio Farias, 47 Tirol 40205-749 Melo da Serra / RO",1,1605.63,Enviada
1744,159,"1973-12-11","Sítio Farias, 47 Tirol 40205-749 Melo da Serra / RO",1,1605.63,Enviada
1744,159,"1973-12-11","Sítio Farias, 47 Tirol 40205-749 Melo da Serra / RO",1,1605.63,Enviada
1864,776,"1954-12-09","Vereda de Aragão, 69 Vila Santa Rosa 91326-243 Jesus / AL",1,128472.96,Enviada
1864,776,"1954-12-09","Vereda de Aragão, 69 Vila Santa Rosa 91326-243 Jesus / AL",1,128472.96,Enviada
1864,776,"1954-12-09","Vereda de Aragão, 69 Vila Santa Rosa 91326-243 Jesus / AL",1,128472.96,Enviada
1928,421,"1970-11-09","Loteamento Rodrigues, 869 Palmares 97692-838 da Cunha / AM",1,6668.98,Enviada
1928,421,"1970-11-09","Loteamento Rodrigues, 869 Palmares 97692-838 da Cunha / AM",1,6668.98,Enviada
1928,421,"1970-11-09","Loteamento Rodrigues, 869 Palmares 97692-838 da Cunha / AM",1,6668.98,Enviada
41,608,"1978-03-26","Feira de Alves, 51 Marieta 1ª Seção 26624-408 Barros do Galho / SE",2,235794.55,Enviada
41,608,"1978-03-26","Feira de Alves, 51 Marieta 1ª Seção 26624-408 Barros do Galho / SE",2,235794.55,Enviada
41,608,"1978-03-26","Feira de Alves, 51 Marieta 1ª Seção 26624-408 Barros do Galho / SE",2,235794.55,Enviada
416,342,"1955-07-26","Aeroporto Ramos, 66 Caiçaras 13805-115 Fernandes da Serra / AP",2,215028.75,Enviada
416,342,"1955-07-26","Aeroporto Ramos, 66 Caiçaras 13805-115 Fernandes da Serra / AP",2,215028.75,Enviada
416,342,"1955-07-26","Aeroporto Ramos, 66 Caiçaras 13805-115 Fernandes da Serra / AP",2,215028.75,Enviada
581,81,"2006-07-10","Residencial de Nascimento, 46 Vila Santo Antônio 34127-554 Mendes de Farias / CE",2,112333.57,Enviada
581,81,"2006-07-10","Residencial de Nascimento, 46 Vila Santo Antônio 34127-554 Mendes de Farias / CE",2,112333.57,Enviada
581,81,"2006-07-10","Residencial de Nascimento, 46 Vila Santo Antônio 34127-554 Mendes de Farias / CE",2,112333.57,Enviada
678,788,"1954-01-02","Condomínio de Duarte, 4 Alta Tensão 2ª Seção 90644-133 Pereira / PA",2,167331.73,Enviada
678,788,"1954-01-02","Condomínio de Duarte, 4 Alta Tensão 2ª Seção 90644-133 Pereira / PA",2,167331.73,Enviada
678,788,"1954-01-02","Condomínio de Duarte, 4 Alta Tensão 2ª Seção 90644-133 Pereira / PA",2,167331.73,Enviada
1272,673,"1946-07-20","Rua Pires, 88 Betânia 01728829 Correia do Galho / DF",2,69167.42,Enviada
1272,673,"1946-07-20","Rua Pires, 88 Betânia 01728829 Correia do Galho / DF",2,69167.42,Enviada
1272,673,"1946-07-20","Rua Pires, 88 Betânia 01728829 Correia do Galho / DF",2,69167.42,Enviada
1469,895,"1963-07-21","Residencial Guilherme da Luz, 9 Mangueiras 64912-680 Ramos / AP",2,68709.07,Enviada
1469,895,"1963-07-21","Residencial Guilherme da Luz, 9 Mangueiras 64912-680 Ramos / AP",2,68709.07,Enviada
1469,895,"1963-07-21","Residencial Guilherme da Luz, 9 Mangueiras 64912-680 Ramos / AP",2,68709.07,Enviada
91,117,"1961-04-18","Campo Pires, 311 Conjunto Jatoba 63845-548 Silveira / SE",3,111779.56,Enviada
91,117,"1961-04-18","Campo Pires, 311 Conjunto Jatoba 63845-548 Silveira / SE",3,111779.56,Enviada
91,117,"1961-04-18","Campo Pires, 311 Conjunto Jatoba 63845-548 Silveira / SE",3,111779.56,Enviada
102,859,"2001-04-02","Campo Mendes, 3 Juliana 18036-669 Dias dos Dourados / MS",3,199719.1,Enviada
102,859,"2001-04-02","Campo Mendes, 3 Juliana 18036-669 Dias dos Dourados / MS",3,199719.1,Enviada
102,859,"2001-04-02","Campo Mendes, 3 Juliana 18036-669 Dias dos Dourados / MS",3,199719.1,Enviada
523,587,"1992-08-13",Campo Stella Ferreira Novo Ouro Preto 12789-557 Pires / PI,3,51641.15,Enviada
523,587,"1992-08-13",Campo Stella Ferreira Novo Ouro Preto 12789-557 Pires / PI,3,51641.15,Enviada
523,587,"1992-08-13",Campo Stella Ferreira Novo Ouro Preto 12789-557 Pires / PI,3,51641.15,Enviada
979,778,"1982-06-06","Vereda Vieira, 72 Carmo 07354490 Nascimento Paulista / RR",3,157840.73,Enviada
979,778,"1982-06-06","Vereda Vieira, 72 Carmo 07354490 Nascimento Paulista / RR",3,157840.73,Enviada
979,778,"1982-06-06","Vereda Vieira, 72 Carmo 07354490 Nascimento Paulista / RR",3,157840.73,Enviada
1564,419,"1997-01-06","Vereda Fogaça, 13 Vila Da Luz 75689427 Silva / AM",3,21466.99,Enviada
1564,419,"1997-01-06","Vereda Fogaça, 13 Vila Da Luz 75689427 Silva / AM",3,21466.99,Enviada
1564,419,"1997-01-06","Vereda Fogaça, 13 Vila Da Luz 75689427 Silva / AM",3,21466.99,Enviada
86,938,"1998-01-05",Fazenda João Lucas Lima Nossa Senhora Aparecida 67019105 das Neves do Oeste / SC,4,5522.97,Enviada
86,938,"1998-01-05",Fazenda João Lucas Lima Nossa Senhora Aparecida 67019105 das Neves do Oeste / SC,4,5522.97,Enviada
86,938,"1998-01-05",Fazenda João Lucas Lima Nossa Senhora Aparecida 67019105 das Neves do Oeste / SC,4,5522.97,Enviada
209,635,"1980-09-26",Jardim Marcela Costa Silveira 07501623 Rocha de Lopes / PA,4,233647.2,Enviada
209,635,"1980-09-26",Jardim Marcela Costa Silveira 07501623 Rocha de Lopes / PA,4,233647.2,Enviada
209,635,"1980-09-26",Jardim Marcela Costa Silveira 07501623 Rocha de Lopes / PA,4,233647.2,Enviada
226,88,"1999-10-14","Ladeira Bianca Gomes, 7 Ipiranga 71245492 Pires de Almeida / RN",4,154297.83,Enviada
226,88,"1999-10-14","Ladeira Bianca Gomes, 7 Ipiranga 71245492 Pires de Almeida / RN",4,154297.83,Enviada
226,88,"1999-10-14","Ladeira Bianca Gomes, 7 Ipiranga 71245492 Pires de Almeida / RN",4,154297.83,Enviada
543,710,"1972-12-11",Jardim Valentina Gomes João Paulo Ii 90979-552 Campos de Melo / MS,4,66347.38,Enviada
543,710,"1972-12-11",Jardim Valentina Gomes João Paulo Ii 90979-552 Campos de Melo / MS,4,66347.38,Enviada
543,710,"1972-12-11",Jardim Valentina Gomes João Paulo Ii 90979-552 Campos de Melo / MS,4,66347.38,Enviada
